2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.326, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.326, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.327, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.327, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.328, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.328, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.329, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32/dir.mdtest.0.329, nil, 0 us, 0, 8391061
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.400, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.400, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.401, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.401, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.402, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.402, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.403, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.403, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.404, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.404, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.405, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.405, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.406, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.406, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.407, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.407, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.408, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.408, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.409, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40/dir.mdtest.0.409, nil, 0 us, 0, 8391062
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.450, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.450, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.451, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.451, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.452, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.452, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.453, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.453, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.454, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.454, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.455, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.455, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.456, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.456, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.457, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.457, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.458, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.458, nil, 0 us, 0, 8391063
2023-09-27 20:36:24 CST, 172.16.1.101:44252, ltptest, OpMetaDeleteDentry, dir.mdtest.0.459, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45/dir.mdtest.0.459, nil, 0 us, 0, 8391063
2023-09-27 20:36:25 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.480, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.48/dir.mdtest.0.480, nil, 0 us, 0, 8391064
2023-09-27 20:36:25 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.481, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.48/dir.mdtest.0.481, nil, 0 us, 0, 8391064
